English sentence	fr	zh_cn	ja
But he does n't need to, because it manages to lift itself up on its own.	Mais il n'a nul besoin {{de le faire}}, pour la seule et bonne raison qu'il se relève de lui même.	但是没有必要{{装置}}能自己站起来	しかしその必要はありません自身で起き上がれるからです
Basit and Amjad; they are still there.	Basit et AMjad ; ils sont toujours là.	就是 Basit 和 Amjad, 他们还在那住着	バシットとアムジャッドです
You just have to believe me, it is, it is.	Vous devez me croire, c'est {{vrai}}.	你只能相信我真是这样的	そうなんです信じてください
I got zero hits; was n't there.	Aucun résultat ; {{il}} n'était pas là.	我什么也没发现	ヒットしません
The local police do n't act, or if they do, there's not enough evidence, or for some reason we ca n't take them down.	La police locale n'agit pas, où si elle le fait, il n'y a pas assez de preuves, ou pour une raison quelconque nous ne pouvons pas les faire tomber.	地方警察不会有所行动 ， 即使他们{{实施抓捕 }}， 也没有充足的证据或者因为一些原因无法抓到罪犯	地元の警察が動かないとか{{動いた}}としても証拠不十分とか何らかの理由で取り押さえられないのです
I wish it would be easier; unfortunately it is n't.	I wish it would be easier; unfortunately it is n't.	我希望事情能简单一些不幸的是 ， 并非如此	もっと簡単になることを望みますあいにくとそうなってはいませんが
Secondly, for the first time in the modern era, the dominant country in the world — which I think is what China will become — will be not from the West and from very, very different civilizational roots.	Deuxièmement, pour la première fois de l'ère moderne, la première puissance de le monde, et je crois que la Chine va le devenir, ne sera pas occidentale et {{aura}} des racines culturelles très différentes.	第二 ， 在现代史中第一次在世界上 ， 我认为中国会变成大国 ， 它有别于西方国家而{{它是}}从非常 ， 非常不同的文明根源发展起的大国。	さらに初めて世界の覇権を握るのは私は中国になると思っているのですがそれが西欧から全く異なる文明圏へとうつるのです
It is not. It is also shaped equally by history and culture.	C'est faux : l'histoire et la culture sont tout aussi importantes.	{{中国的现代化}}不仅仅是这样的 ， 也是由历史和文化共同作用下形成的。	しかし{{近代化}}は歴史や文化からももたらされるのです
We ca n't.	C'est impossible.	我们不能{{这样}}。	それでは{{理解}}できないんです
They really believe in their own superiority, and they are disrespectful of those who are not.	Ils croient fortement en leur propre supériorité et sont irrespectueux envers les autres.	他们真正相信他们自身{{汉族文化}}的优越性 ， 他们不尊重那些不同{{民族的差异性}}。	{{漢民族}}は本当に自分達の優位性を信じていますそして{{漢民族}}はそうでない民族に対して失礼なのです
This is the Chinese view of the state — very, very different to ours.	C'est ça la vision chinoise de l'état, et elle est très, très différente de la nôtre.	这是从中国视角来看待国家 ， 和我们的截然不同。	これが中国人の国家に対する見方です私たちとは本当に異なります
But this is another, this is the Grand Canal, which was constructed in the first instance in the fifth century B.C.	Mais en voici une autre : le Grand Canal, dont les travaux commencèrent à le 5ème siècle av. J.-C.	但这有另一个 ， 这是 （ 京杭 ） 大运河 ， 它起初是在公元前 5 世纪被建造的	またこのほかにも大運河がそうです大運河は最初の例で紀元前 ５ 世紀に作られ
But it's not.	Mais c'est faux.	但事实不是。	そうではない
Last in reading, math and science. Last.	Derniers en lecture, en mathématiques et en sciences, derniers.	阅读、数学和科学都垫底	国語算数理科は最下位ですビリ
Business: The lowest perception in the E.U.	Les affaires : la plus faible perception dans l'UE	商业方面 ： 在所有欧盟国家中	ビジネスも起業家がもたらす社会への貢献度は
The lowest percentage of entrepreneurs starting businesses.	Le plus faible pourcentage de créateurs d'entreprises.	{{我们的}}自主创业百分比垫底	起業家がビジネスを興す割合は最低
Last in Europe GDP per capita.	Derniers en Europe pour le PIB par habitant.	在欧洲人均 GDP 上 ， {{我们再度}}排名最后	一人当たりの GDP はヨーロッパで最下位です
Last.	Derniers.	最后一名	ビリ
It's not.	Non.	不是的	そう{{本当なの}}です
Of communism — of valuing the society and the state over the individual and squashing, inadvertently, creativity, individual self - expression and innovation.	De communisme - de valorisation de la société et de l'État à les dépens de l'individu, et d'écrasement, par inadvertance, de la créativité, de l'expression individuelle, et de l'innovation.	共产主义 — 社会与国家利益高于个人利益不经意间 ， 创意、个人思想表达和创新遭到践踏	共産主義です社会や国家が個人より優先され創造性自己表現革新性は気がつくと制限されていました
It did.	Oui.	就是这样	{{本当}}です
Autocratic — do what I say because I'm the chef.	Autocratique - faites ce que je dis parce que je suis le chef.	独断专横 — 我是老大 ， 我说的算	独裁的シェフの言いなりに動け
Untrusting — you're obviously a criminal, so I'm going to install cameras.	Méfiant : vous êtes manifestement un criminel, alors je vais installer des caméras.	不信任 — 你明显是个罪犯 ， 我得装几个摄像头了	信用もせず犯罪者扱いして防犯カメラで監視する
(Laughter) Controlling — you're obviously an idiot, so I'm going to make a zillion little processes for you to follow so you do n't step out of the box.	(Rires) Surveillant : vous êtes manifestement un idiot, donc je vais vous donner des tas de processus à suivre pour que vous ne mettiez pas un pied hors de la boîte.	（ 众人笑 ） 指手画脚 — 你明显是个白痴我要设计成千上百的小步骤好让你遵守 ， 这样你就不会做错了	(笑) 支配的おまえらは無能だからしくじらないよう無数の細則を定めてやるよ
Yours truly: humans.	Nous, les êtres humains.	答案是 ： {{我们的脑子}}， 我们人类	私あなたがた人間です
Humans. We play sports.	Les êtres humains. Nous pratiquons de les sports.	人类。我们玩运动	人間です私たちはスポーツをします
Or maybe the workplace of your friends — here we're forward thinking.	Ou peut-être le lieu de travail de vos amis - ici nous sommes avant-gardistes.	或{{想象}}你朋友的工作场所 — 我们做换位思考	友人の職場はどうですか? 見通してみましょう
Basically promoting fun.	Fondamentalement promouvoir le plaisir.	要让工作更有意思	要するに楽しみを増やすのです
