Ellipsis (0 = no, 1 = yes)	English sentence																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	By the end of this year, there'll be nearly a billion people on this planet that actively use social networking sites.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	The one thing that all of them have in common is that they're going to die.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	While that might be a somewhat morbid thought, I think it has some really profound implications that are worth exploring.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	What first got me thinking about this was a blog post authored earlier this year by Derek K. Miller, who was a science and technology journalist who died of cancer.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	And what Miller did was have his family and friends write a post that went out shortly after he died.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	Here's what he wrote in starting that out.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	He said, "" Here it is. I'm dead, and this is my last post to my blog.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	In advance, I asked that once my body finally shut down from the punishments of my cancer, then my family and friends publish this prepared message I wrote — the first part of the process of turning this from an active website to an archive. "" Now, while as a journalist, Miller's archive may have been better written and more carefully curated than most, the fact of the matter is that all of us today are creating an archive that's something completely different than anything that's been created by any previous generation.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	Consider a few stats for a moment.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	Right now there are 48 hours of video being uploaded to YouTube every single minute.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	There are 200 million Tweets being posted every day.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	And the average Facebook user is creating 90 pieces of content each month.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	So when you think about your parents or your grandparents, at best they may have created some photos or home videos, or a diary that lives in a box somewhere.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	But today we're all creating this incredibly rich digital archive that's going to live in the cloud indefinitely, years after we're gone.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	And I think that's going to create some incredibly intriguing opportunities for technologists.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	Now to be clear, I'm a journalist and not a technologist, so what I'd like to do briefly is paint a picture of what the present and the future are going to look like.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	Now we're already seeing some services that are designed to let us decide what happens to our online profile and our social media accounts after we die.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	One of them actually, fittingly enough, found me when I checked into a deli at a restaurant in New York on foursquare.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	(Recording) Adam Ostrow: Hello.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	Death: Adam?																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	AO: Yeah.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	Death: Death can catch you anywhere, anytime, even at the Organic.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	AO: Who is this?																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	Death: Go to ifidie. net before it's too late.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	(Laughter) Adam Ostrow: Kind of creepy, right?																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	So what that service does, quite simply, is let you create a message or a video that can be posted to Facebook after you die.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	Another service right now is called 1,000 Memories.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	And what this lets you do is create an online tribute to your loved ones, complete with photos and videos and stories that they can post after you die.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	But what I think comes next is far more interesting.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	Now a lot of you are probably familiar with Deb Roy who, back in March, demonstrated how he was able to analyze more than 90,000 hours of home video.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	I think as machines' ability to understand human language and process vast amounts of data continues to improve, it's going to become possible to analyze an entire life's worth of content — the Tweets, the photos, the videos, the blog posts — that we're producing in such massive numbers.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	And I think as that happens, it's going to become possible for our digital personas to continue to interact in the real world long after we're gone thanks to the vastness of the amount of content we're creating and technology's ability to make sense of it all.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	Now we're already starting to see some experiments here.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	One service called My Next Tweet analyzes your entire Twitter stream, everything you've posted onto Twitter, to make some predictions as to what you might say next.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	Well right now, as you can see, the results can be somewhat comical.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	You can imagine what something like this might look like five, 10 or 20 years from now as our technical capabilities improve.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	Taking it a step further, MIT's media lab is working on robots that can interact more like humans.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	But what if those robots were able to interact based on the unique characteristics of a specific person based on the hundreds of thousands of pieces of content that person produces in their lifetime?																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	Finally, think back to this famous scene from election night 2008 back in the United States, where CNN beamed a live hologram of hip hop artist will .i.am into their studio for an interview with Anderson Cooper.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	What if we were able to use that same type of technology to beam a representation of our loved ones into our living rooms — interacting in a very lifelike way based on all the content they created while they were alive?																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	I think that's going to become completely possible as the amount of data we're producing and technology's ability to understand it both expand exponentially.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	Now in closing, I think what we all need to be thinking about is if we want that to become our reality — and if so, what it means for a definition of life and everything that comes after it.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	Thank you very much.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	(Applause)																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	Hi. Today, I'm going to take you through glimpses of about eight of my projects, done in collaboration with Danish artist Soren Pors.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	We call ourselves Pors and Rao, and we live and work in India.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	I'd like to begin with my very first object, which I call "" The Uncle Phone. "" And it was inspired by my uncle's peculiar habit of constantly asking me to do things for him, almost like I were an extension of his body — to turn on the lights or to bring him a glass of water, a pack of cigarettes.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	And as I grew up, it became worse and worse, And I started to think of it as a form of control.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	But of course, I could never say anything, because the uncle is a respected figure in the Indian family.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	And the situation that irked me and mystified me the most was his use of a landline telephone.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	He would hold on to the receiver and expect me to dial a number for him.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	And so as a response and as a gift to my uncle, I made him "" The Uncle Phone. "" It's so long that it requires two people to use it.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	It's exactly the way my uncle uses a phone that's designed for one person.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	But the problem is that, when I left home and went to college, I started missing his commands.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	And so I made him a golden typewriter through which he could dispense his commands to nephews and nieces around the world as an email.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
